# QC Report for S3
# Generated by step3_normalization.py

## Summary Statistics
study_id: S3
n_samples: 289
n_samples_AD: 219
n_samples_Control: 70
n_genes_total: 30727
n_genes_variable: 29549
total_raw_counts: 153952928
mean_counts_per_sample: 532709.10
median_counts_per_sample: 468937.90
mean_detected_genes_per_sample: 22704.31
mean_zero_percent: 26.11

## Sample-level QC Metrics
sample_id	total_counts	mean_expression	median_expression	std_expression	min_expression	max_expression	zero_count	zero_percent	detected_genes
GSM3577662	561023.6767810537	18.258329052008126	0.799581826505284	418.85234968159114	0.0	27006.9715710997	8360	27.207342077000686	22367
GSM3577663	530188.7148285069	17.254815466153772	0.712691471287321	402.93258654828435	0.0	41826.7011445537	7052	22.95049956064699	23675
GSM3577664	331970.3559433779	10.80386487269756	0.858767307321429	126.44852927126703	0.0	10682.3215256089	7163	23.311745370521038	23564
GSM3577665	499508.4532795246	16.256336553504234	0.855863832956508	384.75907403321	0.0	30266.1329577538	7809	25.41413089465291	22918
GSM3577666	900576.6525061226	29.308967764706043	0.707922715605937	903.9204235223158	0.0	69116.4017188409	9600	31.24288085397208	21127
GSM3577667	377299.0804039717	12.279073141015123	0.833696221686853	200.63922759702947	0.0	15699.5098054284	7846	25.534546164610926	22881
GSM3577668	315627.95226058154	10.272006777771391	0.855860194896223	106.59341882931355	0.0	8762.73333871228	7472	24.31737559800827	23255
GSM3577669	330267.3358925534	10.748440651301896	0.869676904086762	152.4748861747576	0.0	12066.3230690684	7555	24.5874963387249	23172
GSM3577670	602280.1766354007	19.601008124301128	0.85066304449937	498.5788930903855	0.0	33647.6843442299	8392	27.311485013180594	22335
GSM3577671	954960.064188545	31.07885781848358	0.767675184808047	997.909826733717	0.0	81487.8772388865	9126	29.700263611807205	21601
GSM3577672	855345.6949985684	27.836941289373136	0.722505506926226	855.0812153675033	0.0	79419.5882589752	8297	27.00231067139649	22430
GSM3577673	483505.1693571681	15.735514998443326	0.84280300577104	334.6234981459261	0.0	24409.3104468254	7854	25.560581898655904	22873
GSM3577674	383529.10140576423	12.481827103386737	0.865098096199825	184.6860811001299	0.0	14235.0587216679	7735	25.173300354736877	22992
